Employment_Sector,Employment_Tenure_Months,Net_Salary_Per_Cutoff,Salary_Frequency,Housing_Status,Years_at_Current_Address,Household_Head,Number_of_Dependents,Comaker_Relationship,Comaker_Employment_Tenure_Months,Comaker_Net_Salary_Per_Cutoff,Has_Community_Role,Paluwagan_Participation,Other_Income_Source,Disaster_Preparedness,Is_Renewing_Client,Default
Public,32,19084.99,Biweekly,Owned,6.5,No,5,Sibling,22,19859.39,No,No,None,Insurance,0,1
Private,99,22281.3,Weekly,Owned,2.5,Yes,4,Friend,32,23699.19,Yes,No,OFW Remittance,Savings,0,0
Public,84,44060.16,Biweekly,Rented,6.4,Yes,1,Friend,92,28014.67,No,No,None,Savings,0,0
Public,73,22396.76,Biweekly,Owned,5.1,No,5,Parent,55,42208.32,No,No,OFW Remittance,Savings,0,0
Public,37,27178.62,Bimonthly,Owned,8.3,No,5,Sibling,71,19852.03,No,Yes,Business,Savings,0,0
Public,25,40303.49,Bimonthly,Owned,3.4,Yes,4,Friend,105,33073.5,Yes,Yes,Business,Insurance,0,0
Public,81,18259.57,Bimonthly,Owned,6.1,Yes,0,Parent,82,39337.07,Yes,No,Business,Savings,0,0
Private,18,27640.04,Monthly,Owned,1.6,Yes,0,Parent,40,30216.74,No,Yes,OFW Remittance,None,0,0
Private,19,29673.53,Biweekly,Rented,7.5,Yes,3,Friend,25,32903.66,No,Yes,None,Community Plan,0,0
Public,116,39935.29,Weekly,Rented,9.8,No,1,Friend,97,35139.82,No,Yes,None,Savings,0,0
Private,100,23829.07,Biweekly,Rented,1.9,Yes,3,Friend,30,24542.92,Yes,No,Business,Savings,0,0
Public,91,16309.09,Biweekly,Owned,5.0,Yes,4,Spouse,56,43685.19,Yes,No,OFW Remittance,None,0,0
Public,31,22457.76,Weekly,Rented,8.0,Yes,2,Spouse,38,30910.86,No,Yes,Freelance,Community Plan,0,0
Public,39,25991.98,Bimonthly,Rented,0.5,No,0,Friend,68,40716.79,No,No,Business,Insurance,0,1
Public,31,33762.81,Weekly,Rented,3.1,Yes,0,Spouse,60,16062.87,No,No,OFW Remittance,Savings,0,0
Private,64,38346.52,Bimonthly,Rented,3.4,No,0,Sibling,100,29149.37,Yes,No,OFW Remittance,Insurance,0,0
Public,95,18055.01,Weekly,Rented,8.2,No,2,Parent,91,38971.9,Yes,Yes,OFW Remittance,Savings,0,0
Private,73,23870.89,Weekly,Rented,5.6,No,1,Friend,34,24566.61,Yes,No,Freelance,Insurance,0,0
Private,55,20721.87,Biweekly,Rented,5.6,No,0,Parent,88,19470.16,No,Yes,Freelance,Community Plan,0,0
Public,38,27545.94,Weekly,Owned,9.1,No,3,Parent,68,39649.47,Yes,No,None,None,0,1
Public,75,38399.07,Monthly,Rented,6.5,No,0,Spouse,118,18633.72,Yes,No,OFW Remittance,Savings,0,0
Private,55,17392.97,Bimonthly,Owned,1.6,No,4,Friend,48,44657.1,Yes,No,OFW Remittance,Savings,0,0
Private,78,36845.91,Weekly,Rented,9.5,No,3,Parent,117,24324.44,Yes,Yes,OFW Remittance,Savings,0,0
Public,22,20246.21,Monthly,Rented,8.4,Yes,3,Spouse,41,33106.07,Yes,No,OFW Remittance,None,0,0
Public,20,36292.41,Monthly,Rented,9.3,Yes,5,Friend,46,15798.59,Yes,No,OFW Remittance,Community Plan,0,0
Private,49,21821.65,Biweekly,Owned,7.2,No,4,Parent,76,42354.88,No,Yes,None,None,0,0
Private,86,28491.26,Weekly,Rented,7.2,Yes,2,Parent,11,42261.09,Yes,Yes,OFW Remittance,None,0,0
Public,60,23883.33,Biweekly,Owned,6.8,No,5,Parent,69,32481.43,No,No,Business,None,0,1
Public,71,34704.64,Bimonthly,Owned,9.7,Yes,2,Sibling,43,42169.13,No,Yes,Business,None,0,0
Public,55,36343.5,Biweekly,Owned,1.7,Yes,1,Friend,92,37482.63,No,No,OFW Remittance,None,0,0
Private,31,42319.81,Monthly,Rented,9.1,No,2,Parent,26,37034.18,No,Yes,Freelance,Community Plan,0,0
Private,22,24823.24,Monthly,Rented,6.8,Yes,5,Parent,63,33967.43,No,Yes,OFW Remittance,Savings,0,0
Public,118,41429.96,Bimonthly,Owned,6.8,Yes,1,Spouse,69,22069.18,Yes,Yes,OFW Remittance,None,0,0
Private,78,40834.37,Bimonthly,Owned,4.6,No,5,Spouse,103,31234.07,Yes,Yes,None,None,0,0
Private,59,29210.32,Biweekly,Rented,1.0,No,0,Spouse,23,39391.58,Yes,No,None,Insurance,0,0
Private,17,30239.31,Weekly,Rented,4.4,No,4,Friend,12,33352.18,No,Yes,OFW Remittance,Community Plan,0,0
Public,80,23601.87,Biweekly,Rented,6.2,Yes,4,Sibling,63,20051.78,No,Yes,Business,Insurance,0,0
Public,61,28190.32,Bimonthly,Rented,2.1,No,1,Friend,38,28588.01,Yes,No,Freelance,Community Plan,0,1
Public,14,21214.7,Biweekly,Rented,4.7,No,1,Friend,34,29199.27,No,Yes,OFW Remittance,Savings,0,0
Public,13,39149.98,Bimonthly,Owned,3.4,Yes,4,Spouse,111,41404.84,Yes,No,Business,Insurance,0,0
Public,32,20935.99,Bimonthly,Owned,9.6,Yes,3,Friend,22,34034.53,Yes,Yes,OFW Remittance,None,0,0
Private,30,37862.31,Weekly,Rented,7.8,No,1,Friend,49,26052.66,Yes,Yes,Freelance,None,0,1
Public,30,41036.22,Monthly,Owned,4.3,Yes,5,Parent,115,27873.32,No,No,Freelance,Savings,0,0
Public,43,37146.54,Monthly,Owned,6.0,Yes,4,Spouse,72,41001.36,No,Yes,Freelance,Community Plan,0,0
Public,12,23841.91,Weekly,Owned,5.4,Yes,0,Friend,94,22880.12,No,Yes,None,None,0,0
Public,20,21287.81,Monthly,Owned,5.4,Yes,4,Parent,72,41252.46,Yes,No,None,Insurance,0,0
Public,37,21473.31,Bimonthly,Owned,4.6,No,4,Sibling,27,36482.86,No,No,OFW Remittance,Community Plan,0,1
Public,85,20214.1,Biweekly,Owned,4.2,Yes,1,Friend,72,44164.4,Yes,No,OFW Remittance,None,0,0
Public,16,28796.54,Monthly,Owned,2.6,Yes,1,Spouse,43,30261.79,No,No,Freelance,None,0,0
Private,106,39008.84,Bimonthly,Owned,9.3,No,4,Spouse,52,33735.46,Yes,No,OFW Remittance,Savings,0,0
Private,74,40614.25,Weekly,Owned,5.7,No,4,Spouse,53,41956.86,No,Yes,Business,None,0,0
Public,83,42667.48,Bimonthly,Owned,4.9,No,1,Friend,110,30099.16,No,No,Business,Savings,0,0
Private,24,38764.49,Biweekly,Owned,6.7,Yes,1,Friend,10,20036.67,Yes,No,Freelance,Insurance,0,0
Public,18,16276.17,Weekly,Rented,10.0,Yes,2,Friend,84,33677.59,Yes,Yes,Business,Insurance,0,0
Public,96,19202.01,Biweekly,Rented,2.5,Yes,3,Friend,50,35845.2,No,No,None,Insurance,0,0
Public,95,16524.97,Bimonthly,Owned,7.2,No,3,Spouse,45,27959.63,Yes,No,Freelance,Insurance,0,1
Private,25,39978.68,Weekly,Owned,4.8,No,1,Parent,23,35215.53,Yes,No,None,Insurance,0,0
Public,12,27826.83,Monthly,Owned,6.7,No,4,Sibling,30,17355.0,No,No,Freelance,None,0,0
Public,15,39735.74,Biweekly,Owned,4.9,No,3,Spouse,54,19983.04,Yes,Yes,Business,None,0,0
Private,100,36715.4,Bimonthly,Rented,7.6,Yes,0,Spouse,62,37706.51,No,Yes,Freelance,Insurance,0,0
Private,6,18834.49,Monthly,Owned,9.6,No,5,Parent,115,16419.63,No,Yes,OFW Remittance,None,0,0
Public,41,31156.37,Bimonthly,Rented,8.6,Yes,1,Sibling,48,26977.42,Yes,Yes,Business,None,0,0
Private,81,42658.85,Weekly,Rented,1.2,No,3,Spouse,78,17746.85,Yes,Yes,OFW Remittance,None,0,0
