Employment_Sector,Employment_Tenure_Months,Net_Salary_Per_Cutoff,Salary_Frequency,Housing_Status,Years_at_Current_Address,Household_Head,Number_of_Dependents,Comaker_Relationship,Comaker_Employment_Tenure_Months,Comaker_Net_Salary_Per_Cutoff,Has_Community_Role,Paluwagan_Participation,Other_Income_Source,Disaster_Preparedness,Is_Renewing_Client,Default
Private,37,32957.59,Weekly,Owned,6.6,No,5,Spouse,109,24977.0,Yes,No,Business,Savings,0,0
Public,21,27851.88,Bimonthly,Owned,0.5,No,2,Sibling,12,36198.37,No,No,OFW Remittance,None,0,1
Private,7,38692.85,Monthly,Rented,1.5,Yes,3,Parent,16,32790.9,No,No,Business,Community Plan,0,1
Public,16,34559.78,Weekly,Owned,3.5,No,0,Sibling,84,29898.37,No,No,Freelance,Community Plan,0,0
Public,82,17573.71,Biweekly,Rented,6.8,Yes,0,Spouse,53,31660.66,Yes,Yes,Business,Community Plan,0,0
Private,57,17683.75,Monthly,Rented,2.7,No,2,Spouse,82,19373.92,Yes,No,Freelance,Insurance,0,0
Public,59,40492.03,Monthly,Owned,6.6,No,4,Parent,118,36550.93,Yes,Yes,Freelance,None,0,0
Private,80,34678.39,Biweekly,Rented,7.8,No,5,Sibling,72,22013.62,Yes,No,OFW Remittance,None,0,0
Public,73,19545.24,Biweekly,Rented,7.7,Yes,1,Sibling,100,36040.47,No,No,Freelance,None,0,0
Public,108,36982.03,Weekly,Rented,4.4,No,3,Spouse,73,31060.34,Yes,Yes,Business,Savings,0,0
Public,39,17130.14,Weekly,Owned,2.1,No,5,Sibling,44,18644.1,Yes,No,OFW Remittance,Insurance,0,0
Public,15,24780.11,Monthly,Owned,9.6,No,2,Friend,61,43569.91,Yes,Yes,OFW Remittance,Insurance,0,0
Public,48,39887.17,Monthly,Rented,7.7,No,3,Parent,78,34535.93,Yes,Yes,Freelance,Community Plan,0,0
Private,16,36283.02,Bimonthly,Rented,2.3,Yes,5,Parent,17,29031.03,No,No,OFW Remittance,Insurance,0,1
Public,96,32597.89,Biweekly,Rented,9.2,No,2,Friend,19,26951.41,No,Yes,None,Savings,0,0
Private,115,18452.81,Monthly,Rented,5.3,Yes,1,Spouse,120,21622.21,Yes,No,Business,None,0,0
Public,81,43739.33,Weekly,Owned,8.7,Yes,1,Sibling,92,35578.6,No,Yes,None,Savings,0,0
Public,113,41655.72,Weekly,Owned,8.8,No,0,Parent,87,26224.74,No,Yes,Business,Community Plan,0,0
Public,17,29695.13,Monthly,Owned,3.9,No,4,Friend,44,30113.05,No,No,Business,Savings,0,0
Public,116,22157.69,Biweekly,Owned,0.1,No,2,Friend,40,17289.79,No,No,None,Community Plan,0,0
Private,50,42526.81,Monthly,Rented,8.4,Yes,4,Spouse,104,43592.41,No,No,Freelance,Insurance,0,0
Private,34,24095.84,Bimonthly,Owned,1.3,No,0,Sibling,64,23920.24,Yes,No,None,None,0,0
Public,21,28673.22,Weekly,Rented,0.7,Yes,4,Parent,52,15404.06,No,No,Freelance,Savings,0,1
Public,101,18904.48,Monthly,Owned,0.1,Yes,5,Sibling,104,29232.49,Yes,Yes,None,Savings,0,0
Public,50,19576.98,Bimonthly,Owned,7.8,Yes,0,Parent,41,42371.2,Yes,Yes,OFW Remittance,None,0,0
Public,53,32339.87,Weekly,Rented,4.5,Yes,2,Spouse,97,24101.02,No,Yes,Business,Insurance,0,0
Private,14,37530.17,Monthly,Owned,3.4,No,3,Spouse,111,31721.41,No,No,OFW Remittance,Savings,0,0
Private,101,39757.51,Biweekly,Rented,0.5,Yes,0,Spouse,26,39491.54,No,No,Freelance,Community Plan,0,0
Private,27,29184.28,Weekly,Owned,5.6,No,5,Friend,43,22812.87,No,No,OFW Remittance,Insurance,0,0
Public,110,21349.54,Biweekly,Owned,7.1,Yes,1,Sibling,88,36865.49,Yes,Yes,OFW Remittance,Community Plan,0,0
Public,55,37954.75,Bimonthly,Owned,2.2,Yes,4,Friend,116,15145.56,No,No,Freelance,None,0,1
Public,94,24028.78,Weekly,Rented,2.2,No,0,Parent,85,37967.39,Yes,Yes,OFW Remittance,Savings,0,0
