Employment_Sector,Employment_Tenure_Months,Net_Salary_Per_Cutoff,Salary_Frequency,Housing_Status,Years_at_Current_Address,Household_Head,Number_of_Dependents,Comaker_Relationship,Comaker_Employment_Tenure_Months,Comaker_Net_Salary_Per_Cutoff,Has_Community_Role,Paluwagan_Participation,Other_Income_Source,Disaster_Preparedness,Is_Renewing_Client,Default
Public,12,18854.58,Weekly,Owned,4.9,No,1,Parent,82,35151.19,No,No,Business,Community Plan,0,0
Public,103,19278.3,Weekly,Rented,6.8,No,2,Sibling,41,18004.81,No,No,Business,None,0,0
Private,96,37507.88,Biweekly,Owned,4.2,Yes,1,Spouse,66,24719.23,No,Yes,Business,Community Plan,0,0
Public,42,44794.39,Biweekly,Owned,3.9,No,0,Parent,12,29789.91,No,No,Freelance,None,0,1
Private,93,36056.44,Weekly,Rented,6.4,Yes,1,Parent,10,36698.86,No,Yes,Freelance,None,0,0
Public,27,42189.7,Biweekly,Rented,8.4,Yes,1,Parent,50,25694.48,No,No,OFW Remittance,Community Plan,0,0
Public,63,22135.73,Biweekly,Owned,4.4,Yes,0,Friend,14,42210.48,Yes,No,OFW Remittance,Community Plan,0,0
Public,59,38805.49,Bimonthly,Rented,7.9,Yes,2,Spouse,74,37196.74,Yes,Yes,Freelance,Savings,0,0
Public,69,29817.81,Monthly,Owned,3.7,No,0,Friend,61,19449.96,Yes,No,Freelance,None,0,0
Public,57,22438.9,Weekly,Rented,4.6,No,5,Sibling,39,38222.65,No,No,Business,Savings,0,0
Public,102,42300.09,Weekly,Rented,9.1,No,5,Spouse,86,39619.98,No,Yes,None,Community Plan,0,0
Public,75,28924.74,Weekly,Rented,7.0,Yes,3,Parent,53,35433.44,Yes,Yes,Freelance,Savings,0,0
Private,114,22347.19,Biweekly,Owned,5.3,No,2,Friend,79,29698.24,No,Yes,None,None,0,0
Private,54,21980.29,Monthly,Rented,5.0,Yes,1,Friend,48,20122.24,No,Yes,Business,None,0,0
Private,37,31315.77,Biweekly,Owned,9.7,No,5,Sibling,44,40984.61,No,No,None,None,0,0
Private,107,37121.62,Biweekly,Rented,4.5,No,1,Sibling,46,23878.13,No,Yes,Freelance,Insurance,0,0
Private,52,17226.94,Biweekly,Rented,7.2,No,4,Sibling,80,15244.19,Yes,No,Business,Insurance,0,0
Public,30,18802.5,Weekly,Rented,7.1,No,4,Sibling,94,19074.95,No,Yes,Business,Savings,0,0
Public,23,43416.55,Bimonthly,Rented,2.4,Yes,5,Spouse,44,19405.43,Yes,No,Freelance,Insurance,0,0
Public,13,17616.24,Weekly,Rented,9.8,Yes,1,Sibling,73,40278.28,No,Yes,OFW Remittance,None,0,0
Private,36,41976.48,Biweekly,Owned,3.4,No,5,Parent,89,44506.11,Yes,Yes,None,Insurance,0,0
Public,110,23089.44,Weekly,Owned,7.7,No,5,Spouse,33,23717.92,Yes,Yes,None,Savings,0,0
Private,21,34544.34,Monthly,Owned,7.4,Yes,2,Parent,58,21038.94,Yes,Yes,Business,Community Plan,0,0
Private,103,19164.74,Bimonthly,Owned,4.1,Yes,0,Sibling,120,44662.26,Yes,Yes,Business,Insurance,0,0
Private,39,44832.3,Biweekly,Rented,7.4,Yes,5,Sibling,77,29299.0,Yes,No,OFW Remittance,None,0,0
Private,16,17391.46,Bimonthly,Owned,0.1,Yes,3,Sibling,93,41265.55,Yes,Yes,None,None,0,1
Public,57,24226.58,Bimonthly,Rented,0.9,Yes,3,Parent,14,35471.68,Yes,Yes,None,Savings,0,0
Public,109,15754.51,Monthly,Rented,8.3,No,0,Friend,57,41384.77,No,No,Business,Savings,0,0
Public,23,36865.46,Monthly,Rented,6.7,No,0,Sibling,58,20010.84,No,No,Freelance,None,0,0
Private,22,39459.91,Weekly,Rented,0.5,No,1,Friend,103,25778.32,Yes,Yes,Freelance,Community Plan,0,0
Private,16,16813.29,Monthly,Rented,3.4,No,5,Friend,24,17231.33,No,No,Freelance,Savings,0,0
Public,97,28361.1,Weekly,Rented,5.3,Yes,0,Parent,106,33607.01,Yes,Yes,Freelance,None,0,0
Public,30,41138.92,Biweekly,Owned,5.0,Yes,0,Spouse,91,27521.21,No,Yes,Freelance,Insurance,0,0
Private,82,29230.11,Biweekly,Owned,6.3,No,0,Spouse,26,30893.54,Yes,Yes,OFW Remittance,Savings,0,0
Private,68,26658.69,Biweekly,Rented,2.4,No,5,Sibling,12,33605.77,No,Yes,Business,Savings,0,0
Private,75,35481.22,Weekly,Owned,0.5,No,2,Sibling,60,42067.08,Yes,Yes,None,Savings,0,0
Public,78,37767.09,Weekly,Owned,5.5,Yes,5,Friend,43,23820.78,Yes,Yes,Business,Savings,0,1
Private,93,36672.32,Monthly,Owned,3.7,No,2,Parent,15,34110.2,No,Yes,None,Savings,0,0
Private,70,41757.51,Monthly,Owned,7.0,No,5,Friend,47,44777.75,Yes,Yes,None,Community Plan,0,0
Public,6,42629.58,Monthly,Rented,4.8,No,1,Parent,41,19939.54,No,Yes,None,None,0,0
Private,35,16725.85,Biweekly,Rented,9.0,No,0,Friend,16,15424.09,No,No,Freelance,Community Plan,0,0
Private,40,27355.01,Biweekly,Rented,9.9,No,3,Friend,82,24233.31,Yes,No,None,Savings,0,0
Public,13,38353.13,Weekly,Rented,1.2,No,0,Spouse,99,33364.57,No,No,None,None,0,0
Public,78,40214.61,Weekly,Owned,7.2,Yes,3,Parent,21,35980.68,No,No,OFW Remittance,Insurance,0,0
Private,116,28395.24,Bimonthly,Owned,4.0,Yes,0,Friend,45,19746.31,Yes,No,Business,None,0,0
Public,27,35658.01,Weekly,Rented,4.2,Yes,0,Sibling,17,37251.57,Yes,No,None,Insurance,0,1
Private,90,34221.3,Monthly,Rented,3.8,Yes,2,Sibling,101,25058.75,No,Yes,OFW Remittance,Insurance,0,0
Public,101,21806.84,Monthly,Rented,0.1,Yes,1,Friend,54,31874.43,Yes,Yes,Business,None,0,0
Public,73,15506.15,Biweekly,Owned,3.6,Yes,3,Sibling,25,21382.82,Yes,Yes,Business,Savings,0,0
Private,111,24055.38,Biweekly,Rented,4.5,No,1,Parent,25,38319.52,Yes,Yes,Business,Savings,0,0
Private,44,37202.94,Monthly,Owned,3.7,Yes,3,Parent,116,18299.27,No,Yes,None,Community Plan,0,0
Public,18,34915.04,Monthly,Rented,7.5,Yes,0,Parent,68,32835.45,Yes,No,None,None,0,0
Private,33,28416.94,Bimonthly,Owned,4.6,Yes,1,Spouse,43,15684.97,Yes,No,Business,Community Plan,0,0
Public,109,29756.86,Weekly,Owned,4.2,No,2,Friend,61,32952.9,No,No,None,None,0,0
Private,17,36126.12,Weekly,Owned,7.5,No,3,Sibling,63,23132.07,Yes,No,Freelance,Insurance,0,0
Public,40,24458.36,Bimonthly,Owned,1.8,No,1,Sibling,86,17405.94,No,No,OFW Remittance,Savings,0,0
Private,46,41852.58,Biweekly,Rented,2.6,Yes,4,Parent,95,35247.98,Yes,No,None,Savings,0,0
Private,8,28197.71,Biweekly,Owned,8.1,No,2,Parent,84,42175.49,Yes,No,OFW Remittance,Savings,0,1
Public,63,22883.03,Biweekly,Rented,6.8,No,0,Spouse,95,43158.11,No,Yes,None,Community Plan,0,0
Private,94,30438.45,Bimonthly,Owned,5.9,Yes,4,Friend,101,43696.76,Yes,Yes,Business,Community Plan,0,0
Private,108,22319.12,Biweekly,Owned,8.1,Yes,5,Parent,78,44529.92,Yes,Yes,Freelance,Savings,0,0
Public,64,24529.83,Weekly,Rented,4.5,Yes,5,Friend,26,21716.18,Yes,Yes,Freelance,Insurance,0,0
Public,97,42974.89,Monthly,Rented,8.3,No,1,Parent,29,40558.65,No,Yes,Freelance,Insurance,0,0
Public,109,43574.25,Bimonthly,Rented,2.7,No,5,Friend,47,38270.06,No,Yes,Business,Insurance,0,0
Private,54,24245.39,Weekly,Owned,6.0,Yes,1,Parent,28,36812.65,Yes,Yes,None,Community Plan,0,0
Public,113,15346.2,Monthly,Rented,6.0,Yes,5,Spouse,30,40993.83,Yes,No,Business,None,0,1
Private,12,19711.63,Biweekly,Owned,1.3,No,1,Spouse,66,26811.14,Yes,Yes,Freelance,None,0,0
Public,39,20568.49,Bimonthly,Owned,5.3,No,3,Parent,25,37880.22,No,No,None,Savings,0,1
Private,23,34694.37,Bimonthly,Owned,0.6,Yes,1,Spouse,105,42625.33,Yes,No,Business,Insurance,0,0
Public,15,30829.1,Bimonthly,Owned,5.2,Yes,3,Spouse,43,19942.88,No,No,OFW Remittance,None,0,1
Public,33,19033.66,Biweekly,Rented,5.0,Yes,4,Spouse,71,18108.05,Yes,Yes,Business,Community Plan,0,0
Public,96,22051.49,Biweekly,Rented,3.9,Yes,0,Sibling,57,20912.39,Yes,Yes,None,Community Plan,0,0
Public,52,18146.89,Bimonthly,Owned,4.7,Yes,0,Friend,81,21775.51,No,No,OFW Remittance,Community Plan,0,1
Public,76,39441.62,Monthly,Rented,1.6,No,4,Spouse,93,27518.72,No,Yes,Freelance,Savings,0,0
Public,18,20099.69,Bimonthly,Owned,5.4,No,1,Sibling,71,15816.91,No,No,None,Savings,0,0
Private,27,23311.83,Biweekly,Rented,8.9,Yes,3,Spouse,38,41569.31,No,No,Business,Savings,0,1
