Employment_Sector,Employment_Tenure_Months,Net_Salary_Per_Cutoff,Salary_Frequency,Housing_Status,Years_at_Current_Address,Household_Head,Number_of_Dependents,Comaker_Relationship,Comaker_Employment_Tenure_Months,Comaker_Net_Salary_Per_Cutoff,Has_Community_Role,Paluwagan_Participation,Other_Income_Source,Disaster_Preparedness,Is_Renewing_Client,Default
Private,29,16494.31,Biweekly,Owned,6.5,Yes,0,Friend,81,26032.64,No,No,OFW Remittance,Insurance,0,0
Private,8,29662.69,Weekly,Owned,0.9,Yes,1,Parent,94,30736.27,Yes,Yes,OFW Remittance,Savings,0,0
Public,70,39053.03,Weekly,Owned,8.6,Yes,5,Parent,49,34925.28,Yes,No,Freelance,Community Plan,0,0
Private,62,35443.1,Bimonthly,Rented,1.3,No,3,Friend,24,39170.97,Yes,Yes,OFW Remittance,Insurance,0,0
Public,47,37934.44,Biweekly,Owned,5.2,No,2,Friend,111,33653.81,Yes,No,None,Community Plan,0,0
Public,52,33137.24,Weekly,Owned,2.0,Yes,0,Parent,28,23284.03,Yes,Yes,Freelance,None,0,0
Public,75,21629.15,Monthly,Rented,9.8,No,1,Friend,107,35539.23,No,Yes,Business,Savings,0,0
Public,90,24191.84,Monthly,Rented,0.2,Yes,1,Spouse,96,42349.02,No,Yes,OFW Remittance,Insurance,0,0
Private,105,22502.82,Weekly,Owned,7.1,No,2,Parent,11,31048.0,Yes,No,Business,Savings,0,0
Public,89,27156.16,Monthly,Rented,7.9,Yes,5,Parent,112,38972.98,Yes,Yes,Business,Savings,0,0
Private,12,25202.99,Bimonthly,Rented,4.9,No,4,Spouse,43,44158.05,Yes,Yes,OFW Remittance,None,0,0
Public,108,38626.42,Bimonthly,Rented,4.5,No,1,Friend,20,20349.38,Yes,No,OFW Remittance,Community Plan,0,0
Private,54,38892.63,Biweekly,Owned,4.5,Yes,3,Spouse,68,28459.08,Yes,Yes,None,Savings,0,0
Private,85,39473.19,Monthly,Rented,5.9,Yes,4,Spouse,35,18165.91,No,Yes,None,Community Plan,0,0
Public,111,33709.95,Bimonthly,Rented,9.6,No,2,Parent,24,29893.82,Yes,No,OFW Remittance,None,0,0
Private,112,41620.33,Bimonthly,Owned,3.3,No,5,Parent,68,34264.27,Yes,No,Freelance,Community Plan,0,0
Public,120,25460.74,Biweekly,Owned,1.0,No,4,Friend,99,36730.64,Yes,Yes,OFW Remittance,Savings,0,0
Private,67,44734.79,Biweekly,Rented,2.5,Yes,1,Parent,44,33207.56,Yes,No,Freelance,Savings,0,0
Private,119,27769.92,Biweekly,Owned,8.9,Yes,4,Sibling,96,33225.63,Yes,Yes,None,Savings,0,0
Public,83,36680.54,Bimonthly,Rented,4.9,No,0,Spouse,32,22899.12,No,No,Business,None,0,0
Public,107,32145.83,Bimonthly,Owned,8.9,Yes,5,Friend,92,26949.08,Yes,Yes,Business,None,0,0
Private,11,32120.67,Monthly,Rented,3.0,No,2,Spouse,60,20706.85,Yes,Yes,None,None,0,0
Public,11,36930.24,Monthly,Rented,7.3,Yes,1,Spouse,11,44880.81,No,Yes,Business,Community Plan,0,0
Private,61,15800.15,Bimonthly,Rented,8.3,Yes,3,Friend,84,42904.9,No,No,OFW Remittance,Community Plan,0,0
Public,43,39973.09,Biweekly,Owned,6.6,Yes,4,Spouse,71,44389.8,No,No,OFW Remittance,Community Plan,0,0
Private,31,18003.59,Bimonthly,Owned,5.0,Yes,4,Friend,119,25319.58,No,No,Business,Insurance,0,1
Public,24,34418.78,Bimonthly,Rented,5.4,No,3,Parent,22,40517.09,Yes,No,Freelance,Savings,0,0
Public,70,34932.89,Weekly,Rented,8.3,Yes,4,Sibling,13,22566.34,Yes,Yes,Freelance,Community Plan,0,0
