Employment_Sector,Employment_Tenure_Months,Net_Salary_Per_Cutoff,Salary_Frequency,Housing_Status,Years_at_Current_Address,Household_Head,Number_of_Dependents,Comaker_Relationship,Comaker_Employment_Tenure_Months,Comaker_Net_Salary_Per_Cutoff,Has_Community_Role,Paluwagan_Participation,Other_Income_Source,Disaster_Preparedness,Is_Renewing_Client,Default
Private,67,35780.94,Monthly,Rented,3.6,Yes,3,Spouse,86,34241.36,Yes,Yes,Freelance,Insurance,0,0
Private,18,41362.81,Weekly,Owned,2.6,No,4,Sibling,33,22436.12,Yes,No,Business,Savings,0,0
Private,40,26120.15,Monthly,Owned,0.6,No,0,Parent,63,36121.36,No,No,Business,None,0,0
Private,116,27262.6,Monthly,Rented,7.2,No,1,Spouse,44,24725.7,Yes,Yes,Business,Savings,0,0
Private,112,32375.64,Bimonthly,Owned,4.3,Yes,5,Friend,117,21933.44,Yes,Yes,OFW Remittance,Community Plan,0,0
Private,88,44641.82,Monthly,Rented,8.9,No,5,Parent,21,33067.36,Yes,Yes,Business,None,0,1
Private,37,26546.59,Monthly,Owned,4.8,No,5,Sibling,69,30957.9,Yes,Yes,None,Savings,0,0
Public,49,17506.58,Weekly,Rented,3.5,No,1,Spouse,49,19561.95,No,No,None,Community Plan,0,1
Private,34,23758.84,Weekly,Rented,4.8,Yes,2,Spouse,49,35165.5,Yes,Yes,Business,Savings,0,1
Private,58,16439.91,Monthly,Rented,0.2,No,4,Sibling,71,31475.63,Yes,No,Business,None,0,0
Private,91,30878.9,Weekly,Rented,1.8,Yes,1,Sibling,117,20680.97,No,Yes,OFW Remittance,Community Plan,0,0
Public,21,29182.79,Biweekly,Rented,2.0,Yes,5,Friend,113,43558.81,Yes,Yes,Freelance,None,0,0
Public,35,39584.99,Biweekly,Rented,5.7,No,0,Parent,49,41320.28,No,No,None,Community Plan,0,0
Private,93,43694.27,Biweekly,Owned,3.7,No,0,Parent,41,19418.16,Yes,No,None,Insurance,0,0
Private,85,15656.74,Biweekly,Rented,6.2,No,5,Parent,24,18585.4,No,No,OFW Remittance,None,0,0
Public,67,37998.92,Weekly,Rented,6.6,Yes,0,Sibling,34,25255.44,No,No,Business,Savings,0,0
Public,110,35812.04,Monthly,Owned,9.4,No,1,Sibling,30,25476.92,Yes,Yes,OFW Remittance,Savings,0,0
Public,9,15298.49,Monthly,Owned,3.8,Yes,1,Spouse,120,43938.21,No,Yes,OFW Remittance,Community Plan,0,0
Public,85,23182.59,Monthly,Owned,9.7,Yes,0,Friend,76,35767.81,No,Yes,OFW Remittance,Insurance,0,0
Private,39,23940.1,Biweekly,Rented,6.5,No,1,Friend,113,44269.79,No,No,None,None,0,0
Public,94,25095.46,Weekly,Rented,4.5,Yes,0,Spouse,44,34408.37,No,Yes,OFW Remittance,None,0,0
Private,83,33477.32,Bimonthly,Owned,4.3,Yes,0,Parent,32,21222.03,Yes,No,Business,Community Plan,0,0
Private,26,19232.23,Weekly,Owned,5.0,No,2,Parent,11,30350.3,No,Yes,None,Community Plan,0,0
Private,55,42149.72,Biweekly,Owned,8.1,No,2,Sibling,105,33786.03,Yes,No,Business,Community Plan,0,0
Public,53,28214.37,Bimonthly,Rented,6.8,Yes,2,Parent,80,20493.51,Yes,No,OFW Remittance,None,0,0
Private,18,27476.71,Biweekly,Owned,3.6,No,0,Spouse,111,27002.4,No,Yes,Business,Community Plan,0,0
Public,40,36473.42,Bimonthly,Owned,7.4,Yes,4,Friend,81,37907.52,No,No,None,Savings,0,1
Public,104,27647.8,Weekly,Owned,6.5,Yes,5,Sibling,65,40358.63,Yes,Yes,Freelance,Insurance,0,0
Public,36,44523.64,Monthly,Owned,8.8,Yes,1,Friend,86,24594.12,No,No,Business,Community Plan,0,0
Private,28,24724.83,Biweekly,Owned,6.4,No,5,Spouse,105,44908.87,Yes,No,Business,Community Plan,0,1
Private,33,20626.33,Weekly,Owned,3.0,No,4,Spouse,36,17673.82,Yes,Yes,None,Community Plan,0,0
Private,82,36174.13,Monthly,Owned,5.5,Yes,3,Spouse,31,17552.39,Yes,No,Freelance,Community Plan,0,0
Private,75,21123.04,Monthly,Rented,4.2,No,5,Sibling,86,39923.26,Yes,Yes,OFW Remittance,Community Plan,0,0
Private,14,34160.38,Monthly,Owned,5.8,No,1,Friend,12,38401.64,No,Yes,OFW Remittance,None,0,1
Private,91,41159.05,Biweekly,Rented,2.4,No,3,Sibling,86,37201.93,No,No,None,Community Plan,0,0
Private,79,40009.03,Weekly,Owned,0.4,Yes,3,Spouse,10,43574.66,No,No,None,Savings,0,0
Public,17,33710.91,Weekly,Owned,0.1,Yes,0,Sibling,51,24313.72,Yes,No,None,Insurance,0,0
Public,101,40785.92,Monthly,Owned,3.3,No,4,Spouse,42,22077.67,Yes,No,OFW Remittance,None,0,0
Private,55,25806.25,Biweekly,Owned,6.9,Yes,4,Spouse,87,28185.62,Yes,Yes,None,Savings,0,0
Public,57,40202.26,Weekly,Owned,7.2,No,2,Parent,75,43765.14,No,No,Business,None,0,0
Private,78,17450.8,Bimonthly,Owned,2.3,Yes,5,Spouse,77,16207.82,Yes,Yes,Business,Savings,0,0
Public,87,38963.2,Monthly,Rented,3.9,No,0,Spouse,107,16551.24,Yes,No,OFW Remittance,Insurance,0,0
Private,80,36660.83,Weekly,Owned,4.5,No,1,Parent,36,34652.3,No,Yes,None,None,0,0
Public,52,18724.59,Weekly,Rented,5.0,Yes,5,Parent,34,43550.23,Yes,No,Freelance,Savings,0,1
Private,63,42899.3,Bimonthly,Rented,3.3,Yes,4,Sibling,57,20170.84,Yes,Yes,OFW Remittance,Community Plan,0,0
Private,16,20513.16,Bimonthly,Owned,0.8,Yes,5,Sibling,35,18561.69,Yes,Yes,None,None,0,0
Private,71,44792.83,Weekly,Owned,6.8,No,2,Sibling,116,43901.73,No,Yes,Freelance,Community Plan,0,0
Private,44,24095.35,Monthly,Owned,9.0,Yes,2,Parent,38,39679.93,Yes,No,Business,None,0,0
Public,115,30213.13,Monthly,Rented,5.3,Yes,5,Friend,25,36876.74,No,Yes,None,None,0,0
Private,33,26411.39,Weekly,Rented,3.0,Yes,0,Sibling,19,40147.01,No,No,OFW Remittance,Insurance,0,0
Private,83,30002.23,Biweekly,Owned,6.6,Yes,1,Sibling,50,29807.46,No,Yes,OFW Remittance,None,0,0
Public,119,20502.33,Monthly,Rented,1.5,No,4,Friend,56,43442.77,Yes,No,None,None,0,0
Public,63,42176.43,Weekly,Owned,2.1,Yes,5,Parent,56,38063.05,Yes,No,None,Insurance,0,1
Private,44,34143.11,Weekly,Owned,6.5,No,3,Spouse,90,39658.61,Yes,No,OFW Remittance,None,0,0
Private,18,43732.12,Weekly,Owned,8.1,No,5,Spouse,10,34840.96,Yes,Yes,OFW Remittance,None,0,1
Public,54,34064.85,Monthly,Owned,6.3,Yes,2,Friend,38,20473.69,No,Yes,Freelance,None,0,0
Public,7,33036.12,Weekly,Rented,0.7,No,2,Spouse,88,16063.69,Yes,Yes,Freelance,Savings,0,0
Public,8,33575.93,Bimonthly,Owned,6.9,No,2,Friend,120,38914.44,Yes,No,Business,Community Plan,0,0
Private,39,30511.47,Monthly,Rented,3.2,Yes,3,Sibling,53,33282.59,Yes,Yes,None,Savings,0,0
Private,115,15689.05,Bimonthly,Rented,9.2,No,2,Spouse,59,40713.49,No,Yes,Freelance,Savings,0,0
Public,37,23262.99,Monthly,Rented,5.7,No,2,Sibling,41,40774.08,No,No,Business,Community Plan,0,0
Private,63,43122.66,Biweekly,Owned,5.9,Yes,1,Parent,71,16702.26,Yes,No,Business,Savings,0,0
Private,32,30046.53,Biweekly,Owned,6.7,Yes,3,Parent,17,43589.28,No,Yes,OFW Remittance,None,0,0
Private,46,33801.06,Monthly,Rented,4.4,Yes,4,Parent,79,44371.22,Yes,No,Business,Community Plan,0,0
Private,56,16550.18,Weekly,Rented,0.2,No,3,Spouse,100,20261.13,No,Yes,Freelance,Insurance,0,1
Public,55,18265.7,Bimonthly,Owned,8.2,Yes,1,Spouse,103,39260.51,Yes,Yes,None,None,0,0
Public,38,36179.31,Biweekly,Rented,4.3,No,5,Friend,22,19239.92,Yes,No,None,Insurance,0,0
